acao,tiny_id,tiny_codigo,tiny_nome,tipo,preco_tiny,preco_novo,custo_novo,sku_planilha,aba
alterar,349112008,6117-4142,BUCHA DO MANCAL PANTOGRAFICO - 6117-4142,N,3.13,3.34,1.4904,6117-4142,06_STARA
alterar,349112043,8031-4008,PONTEIRA BICO - 8031-4008,N,45.12,44.43,21.43692,8031-4008,06_STARA
alterar,349112070,6424-4013,CONDUTOR ADUBO DISCO DUPLO - 6424-4013,N,17.33,21.95,8.23446,6424-4013,06_STARA
alterar,349112101,IPCX03009065,GIRO MOLINETE 2 - IPCX03009065,N,3.02,3.06,1.4364,IPCX03009065,07_GTS
alterar,349112107,IPCX03009064,GIRO MOLINETE 1 - IPCX03009064,N,3.02,3.06,1.4364,IPCX03009064,07_GTS
alterar,349112112,IPCX05009034,ROTULA MOLINETE - IPCX05009034,N,6,5.81,2.8512,IPCX05009034,07_GTS
alterar,349112123,IPCX03006056,MANCAL DEDO RETRÁTIL - IPCX03006056,N,7.21,6.92,3.4236,IPCX03006056,07_GTS
alterar,349112129,IPCX03006047,GUIA DEDO RETRATIL - IPCX03006047,N,7.5,7.31,3.564,IPCX03006047,07_GTS
alterar,334772964,,Bomba de Direção Massey Ferguson 194-4F/362/365/372/390,P,1965.21,2063.34,1207.0,5.0220.0548836.0,02_SOHIPREN
alterar,334772845,,Bomba Hidráulica Massey Ferguson MF A-016 - Trator 4299,P,2604.24,2734.28,1632.0,5.1302.0565053.0,02_SOHIPREN
alterar,334771433,,Bomba Hidráulica Dupla Valtra-Valmet BH160,P,1850.18,1942.57,1130.5,5.0220.0548824.0,02_SOHIPREN
alterar,334772656,,Bomba Hidráulica Principal Valtra-Valmet 885/985/1280,P,1850.18,1942.57,1130.5,5.0220.0547201.0,02_SOHIPREN
alterar,334772693,,Bomba Hidráulica Principal Valtra-Valmet 880/980/1780,P,1719.82,1805.7,1043.8,5.0220.0547205.0,02_SOHIPREN
alterar,334771783,,Bomba Hidráulica Ford New Holland CNH A-008 - Série TB/TS,P,3748.1,3935.26,2392.75,5.1301.0565008.0,02_SOHIPREN
alterar,334772001,,Bomba Hidráulica Ford New Holland CNH A-017 - Série TS6000,P,3748.1,3935.26,2392.75,5.1301.0565017.0,02_SOHIPREN
alterar,334772927,,Bomba Hidráulica Ford New Holland CNH A-004 - 340/2910/3930/,P,2533.94,2660.47,1585.25,5.1301.0565004.0,02_SOHIPREN
